neighborhood,zip,building_class,address,line,number,floor,unit,url,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,K,04,1,K104,"https://www.google.com/search?q=site%3Astreeteasy.com+""387+GRAND+STREET""+""K104""",RIGHT,2,1,1960,"975,000.00",4/19/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L,04,12,L1204,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L1204""",MIDDLE,1,1,1960,"700,000.00",10/1/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C,03,14,C1403,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C1403""",RIGHT,1,1,1960,"775,000.00",10/13/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,H,03,14,H1403,"https://www.google.com/search?q=site%3Astreeteasy.com+""210+EAST+BROADWAY""+""H1403""",MIDDLE,1,1,1960,"700,000.00",10/22/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L,03,11,L1103,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L1103""",MIDDLE,3,2,1960,"1,700,000.00",10/29/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,M,07,12,M1207,"https://www.google.com/search?q=site%3Astreeteasy.com+""383+GRAND+STREET""+""M1207""",LEFT,2,1,1960,"1,295,000.00",7/28/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,K,06,11,K1106,"https://www.google.com/search?q=site%3Astreeteasy.com+""387+GRAND+STREET""+""K1106""",RIGHT,2,1,1960,"1,250,000.00",10/13/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,A,01,19,A1901,"https://www.google.com/search?q=site%3Astreeteasy.com+""268+EAST+BROADWAY""+""A1901""",LEFT,2,1,1960,"1,210,000.00",9/29/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E,02,6,E602,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E602""",MIDDLE,studio,1,1960,"450,000.00",11/22/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,K,07,8,K807,"https://www.google.com/search?q=site%3Astreeteasy.com+""387+GRAND+STREET""+""K807""",RIGHT,2,1,1960,"1,200,000.00",2/9/2024
