neighborhood,zip,building_class,address,unit,url,floor,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L1403,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L1403""",14,MIDDLE,1,1,1960,"685,000.00",4/22/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C1707,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C1707""",17,RIGHT,3,2.5,1960,"2,480,000.00",5/3/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,A2002,"https://www.google.com/search?q=site%3Astreeteasy.com+""268+EAST+BROADWAY""+""A2002""",20,LEFT,1,1,1960,"850,000.00",5/6/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,F806,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""F806""",8,LEFT,2,1,1960,"1,125,000.00",8/1/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E302,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E302""",3,MIDDLE,studio,1,1960,"440,000.00",5/24/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,M1205,"https://www.google.com/search?q=site%3Astreeteasy.com+""383+GRAND+STREET""+""M1205""",12,LEFT,2,1,1960,"1,125,000.00",3/10/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,M1002,"https://www.google.com/search?q=site%3Astreeteasy.com+""383+GRAND+STREET""+""M1002""",10,LEFT,1,1,1960,"450,000.00",6/3/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,M603,"https://www.google.com/search?q=site%3Astreeteasy.com+""383+GRAND+STREET""+""M603""",6,LEFT,1,1,1960,"857,000.00",6/4/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,M602,"https://www.google.com/search?q=site%3Astreeteasy.com+""383+GRAND+STREET""+""M602""",6,LEFT,1,1,1960,"442,000.00",6/9/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C302,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C302""",3,RIGHT,1,1,1960,"640,000.00",6/16/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,H1605,"https://www.google.com/search?q=site%3Astreeteasy.com+""210+EAST+BROADWAY""+""H1605""",16,MIDDLE,1,1,1960,"765,000.00",6/17/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L507,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L507""",5,MIDDLE,1,1,1960,"735,000.00",6/22/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C401,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C401""",4,RIGHT,1,1,1960,"739,000.00",6/23/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C101,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C101""",1,RIGHT,1,1,1960,"640,000.00",6/23/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,D1902,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""D1902""",19,LEFT,1,1,1960,"950,000.00",7/8/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,J702,"https://www.google.com/search?q=site%3Astreeteasy.com+""208+EAST+BROADWAY""+""J702""",7,RIGHT,1,1,1960,"650,000.00",7/12/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,K602,"https://www.google.com/search?q=site%3Astreeteasy.com+""387+GRAND+STREET""+""K602""",6,RIGHT,1,1,1960,"716,000.00",7/14/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,K1707,"https://www.google.com/search?q=site%3Astreeteasy.com+""387+GRAND+STREET""+""K1707""",17,RIGHT,2,1,1960,"1,112,500.00",3/22/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,J1504,"https://www.google.com/search?q=site%3Astreeteasy.com+""208+EAST+BROADWAY""+""J1504""",15,RIGHT,2,1,1960,"1,100,000.00",5/6/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C1902,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C1902""",19,RIGHT,1,1,1960,"780,000.00",7/22/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C1607,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C1607""",16,RIGHT,2,1,1960,"1,100,000.00",8/2/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E703,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E703""",7,MIDDLE,1,1,1960,"675,000.00",8/23/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,J603,"https://www.google.com/search?q=site%3Astreeteasy.com+""208+EAST+BROADWAY""+""J603""",6,RIGHT,1,1,1960,"830,000.00",8/25/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,A1006,"https://www.google.com/search?q=site%3Astreeteasy.com+""268+EAST+BROADWAY""+""A1006""",10,LEFT,2,1,1960,"1,100,000.00",10/10/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,D204,"https://www.google.com/search?q=site%3Astreeteasy.com+""417+GRAND+STREET""+""D204""",2,RIGHT,2,1,1960,"999,999.00",12/5/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,A201,"https://www.google.com/search?q=site%3Astreeteasy.com+""268+EAST+BROADWAY""+""A201""",2,LEFT,3,1.5,1960,"1,275,000.00",8/31/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E708,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E708""",7,MIDDLE,1,1,1960,"740,000.00",9/1/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C1306,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C1306""",13,RIGHT,2,1,1960,"1,075,000.00",1/20/2022
