neighborhood,zip,building_class,address,building,line,number,floor,unit,url,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,06,3,H306,https://streeteasy.com/building/208-212-east-broadway-building-3/h306,MIDDLE,3,1.5,1960,"1,300,000.00",11/8/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,2,D,05,1,D105,https://streeteasy.com/building/413-417-grand-st-building-2/d105,RIGHT,2,1,1960,"999,000.00",4/5/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,1,C,01,13,C1301,https://streeteasy.com/building/264-268-east-broadway-building-1/c1301,RIGHT,1,1,1960,"670,000.00",11/20/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,05,6,H605,https://streeteasy.com/building/208-212-east-broadway-building-3/h605,MIDDLE,1,1,1960,"630,000.00",11/29/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,2,F,05,19,F1905,https://streeteasy.com/building/413-417-grand-st-building-2/f1905,LEFT,2,1,1960,"949,000.00",2/3/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,01,16,E1601,https://streeteasy.com/building/413-417-grand-st-building-2/e1601,MIDDLE,2,1,1960,"935,000.00",3/15/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,4,L,02,3,L302,https://streeteasy.com/building/383-387-grand-st-building-4/l302,MIDDLE,studio,1,1960,"515,000.00",12/19/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,4,L,02,9,L902,https://streeteasy.com/building/383-387-grand-st-building-4/l902,MIDDLE,studio,1,1960,"460,000.00",1/4/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,01,1,H101,https://streeteasy.com/building/208-212-east-broadway-building-3/h101,MIDDLE,2,1,1960,"860,000.00",3/24/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,08,13,H1308,https://streeteasy.com/building/208-212-east-broadway-building-3/h1308,MIDDLE,1,1,1960,"765,000.00",1/16/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,1,B,06,14,B1406,https://streeteasy.com/building/264-268-east-broadway-building-1/b1406,MIDDLE,3,1.5,1960,"1,300,000.00",1/31/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,4,M,02,9,M902,https://streeteasy.com/building/383-387-grand-st-building-4/m902,LEFT,1,1,1960,"450,000.00",2/2/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,1,C,06,19,C1906,https://streeteasy.com/building/264-268-east-broadway-building-1/c1906,RIGHT,2,1,1960,"900,000.00",7/16/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,4,L,07,3,L307,https://streeteasy.com/building/383-387-grand-st-building-4/l307,MIDDLE,1,1,1960,"780,000.00",2/9/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,1,A,06,3,A306,https://streeteasy.com/building/264-268-east-broadway-building-1/a306,LEFT,2,1,1960,"890,000.00",3/11/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,2,D,05,13,D1305,https://streeteasy.com/building/413-417-grand-st-building-2/d1305,RIGHT,2,1,1960,"860,000.00",1/28/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,2,D,01,4,D401,https://streeteasy.com/building/413-417-grand-st-building-2/d401,RIGHT,1,1,1960,"650,000.00",3/13/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,2,D,07,2,D207,https://streeteasy.com/building/413-417-grand-st-building-2/d207,RIGHT,2,1,1960,"1,050,000.00",9/4/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,1,B,04,15,B1504,https://streeteasy.com/building/264-268-east-broadway-building-1/b1504,MIDDLE,1,1,1960,"650,000.00",4/2/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,3,J,05,16,J1605,https://streeteasy.com/building/208-212-east-broadway-building-3/j1605,RIGHT,2,1,1960,"488,800.00",2/11/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,4,M,02,16,M1602,https://streeteasy.com/building/383-387-grand-st-building-4/m1602,LEFT,1,1,1960,"433,000.00",4/19/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,3,J,03,18,J1803,https://streeteasy.com/building/208-212-east-broadway-building-3/j1803,RIGHT,1,1,1960,"999,000.00",4/26/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,1,A,05,7,A705,https://streeteasy.com/building/264-268-east-broadway-building-1/a705,LEFT,2,1,1960,"467,225.00",12/9/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,04,17,E1704,https://streeteasy.com/building/413-417-grand-st-building-2/e1704,MIDDLE,1,1,1960,"650,000.00",5/8/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,1,C,03,20,C2003,https://streeteasy.com/building/264-268-east-broadway-building-1/c2003,RIGHT,1,1,1960,"910,000.00",6/17/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,07,9,H907,https://streeteasy.com/building/208-212-east-broadway-building-3/h907,MIDDLE,1,1,1960,"740,000.00",6/25/2024
