neighborhood,zip,building_class,address,building,line,number,floor,unit,url,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,2,D,02,14,D1402,https://streeteasy.com/building/413-417-grand-st-building-2/d1402,RIGHT,1,1,1960,"749,000.00",12/13/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,1,A,04,1,A104,https://streeteasy.com/building/264-268-east-broadway-building-1/a104,LEFT,2,1,1960,"950,000.00",4/19/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,02,13,E1302,https://streeteasy.com/building/413-417-grand-st-building-2/e1302,MIDDLE,studio,1,1960,"495,000.00",12/29/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,2,F,07,3,F307,https://streeteasy.com/building/413-417-grand-st-building-2/f307,LEFT,2,1,1960,"975,000.00",4/7/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,1,C,07,8,C807,https://streeteasy.com/building/264-268-east-broadway-building-1/c807,RIGHT,2,1,1960,"1,050,000.00",4/12/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,4,K,03,9,K903,https://streeteasy.com/building/383-387-grand-st-building-4/k903,RIGHT,1,1,1960,"750,000.00",1/21/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,05,5,E505,https://streeteasy.com/building/413-417-grand-st-building-2/e505,MIDDLE,1,1,1960,"575,000.00",1/27/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,3,J,06,7,J706,https://streeteasy.com/building/208-212-east-broadway-building-3/j706,RIGHT,2,1,1960,"1,050,000.00",3/26/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,03,18,H1803,https://streeteasy.com/building/208-212-east-broadway-building-3/h1803,MIDDLE,1,1,1960,"830,000.00",2/8/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,2,D,02,13,D1302,https://streeteasy.com/building/413-417-grand-st-building-2/d1302,RIGHT,1,1,1960,"685,000.00",2/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,2,D,03,9,D903,https://streeteasy.com/building/413-417-grand-st-building-2/d903,RIGHT,1,1,1960,"769,000.00",2/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,2,D,04,11,D1104,https://streeteasy.com/building/413-417-grand-st-building-2/d1104,RIGHT,2,1,1960,"1,040,000.00",11/10/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,04,20,E2004,https://streeteasy.com/building/413-417-grand-st-building-2/e2004,MIDDLE,1,1,1960,"700,000.00",3/9/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,2,F,07,13,F1307,https://streeteasy.com/building/413-417-grand-st-building-2/f1307,LEFT,2,1,1960,"1,040,000.00",2/13/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,1,A,03,19,A1903,https://streeteasy.com/building/264-268-east-broadway-building-1/a1903,LEFT,1,1,1960,"835,000.00",3/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,03,12,H1203,https://streeteasy.com/building/208-212-east-broadway-building-3/h1203,MIDDLE,1,1,1960,"738,000.00",3/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,1,A,05,4,A405,https://streeteasy.com/building/264-268-east-broadway-building-1/a405,LEFT,2,1,1960,"1,050,000.00",4/4/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,1,C,04,9,C904,https://streeteasy.com/building/264-268-east-broadway-building-1/c904,RIGHT,2,1,1960,"1,010,000.00",8/25/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,1,A,04,19,A1904,https://streeteasy.com/building/264-268-east-broadway-building-1/a1904,LEFT,2,1,1960,"999,999.00",1/28/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,4,K,03,2,K203,https://streeteasy.com/building/383-387-grand-st-building-4/k203,RIGHT,1,1,1960,"797,500.00",3/22/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,3,G,07,13,G1307,https://streeteasy.com/building/208-212-east-broadway-building-3/g1307,LEFT,2,1,1960,"999,999.00",9/14/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,1,A,05,1,A105,https://streeteasy.com/building/264-268-east-broadway-building-1/a105,LEFT,2,1,1960,"930,000.00",3/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,1,C,01,20,C2001,https://streeteasy.com/building/264-268-east-broadway-building-1/c2001,RIGHT,3,2,1960,"1,350,000.00",4/8/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,1,A,07,1,A107,https://streeteasy.com/building/264-268-east-broadway-building-1/a107,LEFT,2,1,1960,"1,170,000.00",12/22/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,04,10,H1004,https://streeteasy.com/building/208-212-east-broadway-building-3/h1004,MIDDLE,1,1,1960,"700,000.00",4/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,4,L,02,18,L1802,https://streeteasy.com/building/383-387-grand-st-building-4/l1802,MIDDLE,3,2,1960,"1,860,000.00",4/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,2,F,06,6,F606,https://streeteasy.com/building/413-417-grand-st-building-2/f606,LEFT,2,1,1960,"999,000.00",3/6/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,2,D,02,10,D1002,https://streeteasy.com/building/413-417-grand-st-building-2/d1002,RIGHT,1,1,1960,"645,000.00",4/29/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,1,B,05,4,B405,https://streeteasy.com/building/264-268-east-broadway-building-1/b405,MIDDLE,1,1,1960,"625,000.00",5/2/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,07,10,E1007,https://streeteasy.com/building/413-417-grand-st-building-2/e1007,MIDDLE,1,1,1960,"810,000.00",5/4/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,1,C,02,2,C202,https://streeteasy.com/building/264-268-east-broadway-building-1/c202,RIGHT,2,2,1960,"975,000.00",10/5/2021
